date,topic,speaker,text,category,text_length
2025-06-17,Childcare Services,Deputy Grace Boland,"I very much welcome the work that has been done to date. As I stated, I hope we deliver the reduction in childcare of the lifetime of this Government, as it is essential. I also highlighted with the Minister that it is not just the cost that is an issue for many parents who are trying to access childcare; it is also the access to childcare. As she is aware, I live in the youngest area in the country. Many parents like myself in Balbriggan, Skerries, Rush and Lusk simply do not have access to the childcare they need. Demand far outstrips supply, which is why I very much welcome the establishment of the forward planning and delivery unit. The Minister might give us an update on the progress of this unit and on when we will see high-pressure areas like my constituency of Dublin Fingal West start to see the benefits of the work of this unit, particularly in the delivery of more childcare places.",Health,904
2024-10-22,Housing Schemes,Deputy Darragh O'Brien,"That is County Galway. Galway city is behind and we have engaged with the council. A total of 79 applications were received, of which 58 were approved. I can provide these details to Deputies across local authorities. To answer Deputy Ó Cuív's question, extensions can be granted. I have not had any case come back to me where a local authority said it would not extend it if it was reasonable to do so. We are not telling them not to.",Housing,435
2024-10-15,Programme for Government,The Taoiseach,"In response to Deputy Tóibín's point, I travel around this country regularly and visit towns and villages of all sizes. I take part of the point he makes regarding the need to rejuvenate and regenerate many of our main streets in mid-size towns. I point to a number of projects across the country in terms of rural and urban regeneration and the funds that have been used. I think of Clonmel as one example where the old barracks have been put into public use and the vitality that will bring to Tipperary. The specific point the Deputy made in relation to the cost base facing small and medium businesses is very valid. I am concerned about it. As I said earlier, when I go into these businesses they seem extremely busy but when they pull me aside they tell me they are busy but struggling to make ends meet. We took a number of steps in the budget to try to assist them, including on the specific issue the Deputy mentioned, electricity. We will provide €4,000 before Christmas to help people in the hospitality and retail sectors with their electricity bills. We have also specifically increased the VAT threshold, which will exclude some smaller and start-up businesses from the burden of charging VAT. There is some validity in the broader point the Deputy made about VAT reform, if I can call it that. We are somewhat constrained by how many VAT rates we can have under European law. I think it is four. However, in the aftermath of the budget I have asked the Minister, Deputy Peter Burke, to engage with the sector and review how our VAT laws interact with the hospitality and retail sectors and other small businesses and the cost base facing them. I will be happy to correspond with the Deputy on that. Deputy Ó Murchú raised Uisce Éireann, specifically pumping station and wastewater treatment issues in Dundalk and north Louth, the impact they are having and the fact that there are plans in place. I will seek an update for him from Uisce Éireann about the speedy delivery of them. However, more broadly, bringing me also to Deputy Barry's question, in the budget we allocated an additional €1 billion to Uisce Éireann using the proceeds of the AIB shares. That means in practice that to the best of my knowledge Uisce Éireann is now fully funded to meet its needs until 2028, based on what it told the Government it requires. My question back to Uisce Éireann is when it will be able to address the horrific situation the Deputy described. I do not need to sit any closer to him to see how vile and awful a situation it is for the Deputy's constituents on the north side of Cork to have to experience. We have allocated significant capital to Uisce Éireann. The Deputy will be aware that, at his request, and in fairness he brings this up regularly, I have corresponded extensively with Uisce Éireann and I was assured that a number of actions would be taken such as clearing and interim works. However, I will go back to the chief executive of Uisce Éireann in light of what the Deputy raised today. I am satisfied the Government has provided significant additional resources on behalf of the taxpayer to help it to accelerate its actions. In the interest of making sure I am fully accurate and fully up to date, I will ask the Tánaiste and Minister for Foreign Affairs to correspond with the Deputy on the Dublin-Monaghan bombings. However, my understanding is that his position and the position of the Government is that we are co-operating fully with investigations and inquiries about that. The families deserve justice and truth. I think President Higgins spoke for all of us when he spoke so forcefully at the commemoration, which I attended. I want these families to get truth and justice. My understanding is that there are active Garda investigations, or at least files that remain open. However, I will get a direct update for the Deputy in writing and ask the Tánaiste to correspond with him.",Government & Administration,3919
2024-09-19,Vacant Properties,Deputy Malcolm Noonan,"I agree wholeheartedly with the Deputy. It covers two thirds of the cost of hiring the conservation professional, but that advice could be critical in saving a building and ensuring that the right approach is taken. Certainly, over the longer term, it will ultimately save the owner money. There is a huge amount of traditional conservation expertise out there. We have a lack of conservation officers in our local authorities. Their recognition within the local government system needs to be looked at and that is something I am looking at with the Heritage Council in terms of rolling out architectural conservation officers, ACOs, to every local authority in the country. We need to have full heritage services in our local authorities. This is a hugely important piece of work. If we look at the number of 19th century buildings and early 20th century buildings across our housing stock right across the country, there is huge potential for these buildings to be restored and brought back into productive use, but the advice needs to be correct. We also have a technical guidance document to support the restoration. I see both of these things as hugely important in trying to bring these buildings back into productive use.",Housing,1228
2025-06-12,School Curriculum,Deputy Helen McEntee,"As has just been discussed, senior cycle redevelopment is about recognising and meeting the promise of education and enabling students to navigate the dynamic and ever-changing world around them by helping them to develop their talents, skills and understanding. Every child is different and has different abilities and, by bringing in these additional assessment components, we will make sure every child has the opportunity to show that. Senior cycle redevelopment will also reduce pressure on students by moving away from single exams worth 100% of the marks. It builds on a significant amount that has been done on additional assessment. There are 28 subjects in the established leaving certificate that already do this. I benefited from it when I studied art and music and know how positive it can be when a student is not solely focused on the 100% exam. I am sure many others here know that as well. I and many others believe pausing senior cycle redevelopment would not be in the interest of meeting that promise. That is why it was confirmed in April that the programme for redevelopment will proceed. Importantly, at that point I provided students entering fifth year in September, and their parents, with clarity and certainty. They have chosen their subjects and know what they are doing and that this change is taking place. Senior cycle redevelopment is already under way. It is important to stress that. Students began to experience the changes from September 2022 when changes were made to the leaving certificate applied and vocational as well as the revised transition year programme statement, which is now in place. We are seeing record levels of transition year participation. Regarding the school year just concluded, we know that students have been able to access modules at levels one and two of the senior cycle for the first time. These are children with additional educational needs and it is very welcome that we now have this for the first time. Both teacher unions have been heavily involved in the redevelopment programme from its outset and I am grateful to them for their intensive engagement, not only in recent months but through many years. The Deputies referred to the ASTI ballot result but I point to the fact the TUI voted in favour of the planned support measures by a margin of 73% to 22%, while the ASTI members voted to reject the package. Senior cycle redevelopment has also been strongly supported by students, the National Parents Council, the Ombudsman for Children and many others.",Education & Childcare,2530
2025-05-13,Medicinal Products,Deputy Marie Sherlock,"It is extremely foolish to assume that the pharmacy sector is like what it was 20 years ago. This is about recognition and respect for what pharmacists are delivering. A figure of €6.50 was agreed for the contraception scheme. I get that a negotiation has to take place - I come from a trade union background - but to my mind, no negotiation took place here. With regard to the IT system, I have looked at the software.",Health,419
2025-04-29,Departmental Offices,An Leas-Cheann Comhairle,"We are out of time, but the Taoiseach may want to give a quick response.",Government & Administration,72
2024-10-17,Defence Forces,Deputy Matt Carthy,"To be clear, I am not dismissing the retention issue whatsoever. I am saying we have a big retention issue, on which the Tánaiste has failed to get a handle. I have also said I welcome the increase in the mandatory retirement age but have said that will not, in itself, deal with the retention issue we face. The truth is that as of today, more people have left the Defence Forces this year than have joined. That is a fact the Tánaiste has confirmed to this House, and it was also a fact last year and in the previous year. The Tánaiste might have been the Minister for Defence for only two years but he was Taoiseach, the Head of Government, before that, so he cannot absolve himself of responsibility for the crisis. He has announced the recruitment of 400 net additional members of the Defence Forces in 2023, but he missed that target. He set the same target for 2024 and missed that target too. By his own admission, there is no prospect of there being 400 additional members of the Defence Forces by the end of this year. Nothing the Tánaiste has said here gives me any confidence he will hit the same target he has set for a third year next year. We need a bit of honesty that the current approach is not working as effectively as it should and that a change of course is needed.",Defence & Security,1287
2025-04-03,Office of Public Works,Deputy Kevin Boxer Moran,"There is a clear process we have to follow and the Deputy is well aware that, if I did not follow it, he would be standing opposite telling me I had done this and that and had not followed the proper procedure. Fourteen properties went to Tipperary County Council for social housing. Eight residential units in Dublin city centre were leased to housing agencies. A building in Crumlin was leased to Dublin City Council for use as a family hub. Two former Garda stations in Cork were transferred to social housing. Three Garda stations in Limerick went to social housing. The list goes on. We have followed all the criteria that are in place. No more than any other agency, the OPW has an enormous number of properties. For some of them, we go through the process of releasing them to local authorities. We always look at State bodies first and then we release them to the local authorities if they require them. However, it is not always the case that the properties are situated in areas where they are wanted by the different departments.",Government & Administration,1040
2024-09-24,Social Welfare Appeals,Deputy Heather Humphreys,"I thank the Deputy for raising this matter. The social welfare appeals office is an office of the Department of Social Protection which is responsible for determining appeals against decisions in relation to social welfare entitlements. The office is administered by the chief appeals officer. The chief appeals officer and her team of appeals officers are independent in their decision-making functions. As Minister, I need to be conscious of the independence of the office, its functions and the decisions it makes. Deciding officers and appeals officers are required to apply the law on a case-by-case basis. All statutory decisions are bound by the relevant provisions of the Social Welfare Consolidation Act 2005 and associated regulations. The legislation provides for a transparent and fair decision-making process in conjunction with the control of social welfare schemes. Every claimant is entitled to have his or her claim considered in the context of determinations of entitlement under the relevant social welfare legislation and in accordance with the principles of natural justice. Test or sample cases are not relied upon when making decisions relating to entitlements to social welfare payments. I am informed by the chief appeals officer that the social welfare appeals office does not rely on test cases to determine the employment status of all workers in a sector. Every individual making an appeal always has the opportunity of having any evidence in his or her own case presented to and considered by an appeals officer. The Comptroller and Auditor General has examined the Department’s approach to the determination of employment or self-employment on several occasions in recent years, most recently in 2022. This examination included reviews of cases which it selected at random. It was found that cases were determined on their own merits through the application of the criteria set out in the code of practice on determining employment status.",Social Welfare,1970
2025-02-27,Special Educational Needs,Deputy Michael Moynihan,"I come from a very rural community myself and I see the fantastic work that is being done right across the education sector in both rural and urban areas. Practitioners at school level, teachers, SET teachers and special needs assistants, make an enormous contribution. The method of allocating SET hours is very carefully monitored and has been over many years, going back to the time of resource teachers. A model has been brought in that fairly and accurately reflects the needs within the school community. I reiterate that there is no proposed reduction in the SET hours for this school in the 2025-26 school year.",Education & Childcare,619
2025-02-27,Special Educational Needs,Deputy Richard O'Donoghue,Why has a school in my constituency got confirmation from the Department of Education that the SEN hours provided will be cut by 2.5 hours even though the criteria state that a developing school would not lose hours? I am talking about Meenkilly National School in Abbeyfeale.,Education & Childcare,276
2025-03-06,Television Licence Fee,Deputy Joanna Byrne,"A vibrant, diverse, financially sustainable and independent media sector is critical to any well functioning democracy. Across Europe, the TV licence model is being phased out because it is outdated and does not work. The Minister is aware that in 2022 the Future of Media Commission recommended the TV licence fee be replaced by direct Exchequer funding in 2024. The Minister's Government chose to ignore that recommendation and kicked the can down the road by means of reform. The Minister is aware that in the previous Dáil term, just last year, the media committee also officially recommended the TV licence fee should be abolished and replaced with Exchequer funding. The Government sat on its hands, again, and did nothing to progress this. Both of these bodies made these recommendations after long and considered discussions and consideration of all of the information required to make such a decision. They were not knee-jerk reactions to the multiple scandals - which are still unresolved in some cases - around governance and spending in RTÉ. In fact, the Future of Media Commission recommendation was made before any of the RTÉ scandals were unearthed. The RTÉ scandals did have a knock-on effect and there was a total reduction in revenue generated by TV licence sales for the 12-month period between July 2023 and June 2024 that amounted to a reduction of €29 million compared with the year before, prior to the scandals being uncovered. When will the reform happen? We need to get timelines on this from the Minister. I appreciate his response but this issue is not going away.","Arts, Culture & Sport",1592
2025-04-08,Schools Building Projects,An Cathaoirleach Gníomhach (Deputy Mattie McGrath),"That is a fair point. Deputy Coppinger came to me and asked me. I allowed people in but they have taken too much latitude. If anybody wants to ask a supplementary question, he or she is going to have to confine it to 30 seconds at the most. I understand that is the fair procedure. I understand Deputy Coppinger's situation.",Education & Childcare,324
2025-06-19,Social Welfare Code,Deputy Dara Calleary,"It is complex as it involves 96 schemes, many of which are means tested. A good outcome will be consistency across schemes and in how means testing is applied. We had a discussion this morning about areas it may not need to or should not apply to in the context of work done by those on these schemes. Even though the Department has a budget of €27 billion, resources are still scarce and they have to be targeted. I want to ensure they are targeted for those most in need, which the means test assists us to do. It has consistently been shown in EU figures to ensure that we target those most in need. A lot more work needs to be done in that space. It is a priority but it is complex given the volume of schemes and the various challenges.",Social Welfare,741
2024-07-09,Budget 2025,Deputy Richard Boyd Barrett,"My question follows on from the previous one. If we take housing as an example, the Housing Commission states that need to almost double the number of houses we deliver each year. If I understand what the Minister says in the summer economic statement, there is only going to be €1.4 billion in additional capital spending. Last year's housing package was €5 billion. How on earth are we going to get up to the level of housing output necessary to meet what the Housing Commission expects the housing needs of this country to be in future years if all that is available in this budget is €1.4 billion? It just does not add up, and it suggests, in the context of the key area we must address, that there is not going to be enough in the budget to deal with the dire housing crisis we face. That is one example. I could talk about health and other areas.",Economy & Business,852
2025-04-03,Pension Provisions,Deputy Jack Chambers,"I appreciate the feedback the Deputy has received. I regularly engage with all the uniformed members myself. I again acknowledge the work they do. The context of the 2013 scheme when it was introduced meant that it was the largest reform of public service occupational pension schemes in the history of the State. That was to try to put them on a sustainable footing by acknowledging the demographic changes taking place and the actuarial analysis and liability that those changes reflect. That is the context in which this has been managed. The previous Government made decisions relating to the State pension age, as it was important to give certainty to many members of the public. There was a huge campaign in 2020, which we responded to. That was the right decision. All of these decisions have a broader context that we have to acknowledge. The decision against increasing the State pension age was the right one in that instance. We want to make sure that the overall State pension system is sustainable and manageable in the context of the other priorities we have.",Social Welfare,1073
2025-03-04,Public Transport,Deputy Darragh O'Brien,"The vast majority of public service obligation bus services are provided by State operators through what are known as direct award contracts. Remaining routes are run by operators awarded a contract following a competitive tendering process. Sometimes those routes are operated by a State operator and sometimes they are operated by a private operator. This mix of contract award processes is in accordance with the relevant EU and Irish regulatory frameworks. The performance of all public transport operators is monitored by the NTA as part of the contractual arrangements in place between it and the operators and performance reports are available to view on the NTA’s website. I reassure the Deputy that the NTA uses all the contractual and regulatory powers available to it to measure, report on and seek to maintain and improve standards across all PSO public transport services. Further, in instances where performance drops, such as those we saw recently on certain routes, financial penalties are rigorously applied unless the cause of the loss of performance is outside of the control of the operator. I recently met NTA representatives specifically on this matter because not only do I want the NTA to focus on the bus operators but I want the bus operators to focus on customer service and certainty as best as possible so that people know that if a bus is scheduled, it will turn up. Everybody understands there may be the odd instance where that does not happen but on certain routes we have seen that with too great a frequency. The NTA is carrying out a specific review of those incidents over the past few weeks, at my request, and will report directly back to me. In the instances we are aware of, the issue was due to a shortage of mechanics and the knock-on impact that had on fleet availability. That led to the recent issues on the newly launched phase 6a of BusConnects. We do not want to see this happening. We want more people to use public transport and, thankfully, they do. There were 330 million journeys made on public transport last year, so the figure is increasing and people are responding. The bus network is now better but we need to ensure the service is there to back it up.",Transport & Infrastructure,2212
2024-09-24,Care Services,Deputy Denis Naughten,I would not mind doing a bit of canvassing as well.,Health,51
2025-02-25,Disability Services,Deputy Aidan Farrelly,I wish the Minister and the Minister of State well in their roles. Will the Minister of State outline her plans to reform and improve the provision of children's disability network teams as outlined in the programme for Government?,Health,231
2025-02-26,Legislative Programme,Deputy Mary Butler,"The Government's legislation programme, which was published on 18 February 2025, sets out the Government's legislative priorities for the current parliamentary session. We all understand that it is a shorter session than usual, but we will have a new programme again just after Easter. This is the first legislative programme of the new Government, which includes 50 Bills for priority publication and drafting during this Dáil session. There are 14 Bills at various Stages across both Houses of the Oireachtas. These include legislation that will amend the Mental Health Acts, amend the law on defamation and provide for sufficient and effective access to cash. I will work with all Members to progress legislation through both Houses of the Oireachtas. This aims to advance important legislation around updating employment and equality Acts, the national cybersecurity Bill, licensing of professional home support providers and legislation on housing. All Government Departments were consulted on the preparation of the spring legislative programme. The Government Legislation Committee, which I chair and is attended by the Attorney General, met on Thursday 13 February 2025 to finalise the programme. The committee will meet on a regular basis throughout the session to ensure that the key legislative priorities are progressed. The Department of the Taoiseach will continue to play a central role in supporting effective co-ordination and prioritisation of policy and legislation across government through Government meetings, the Cabinet committee structures and the Government legislation committee. Currently, some Bills are held up because the committee structure is not yet in place and, as a result, pre-legislative scrutiny of certain Bills will be pushed back.",Government & Administration,1773
2025-05-20,Cabinet Committees,Deputy Tom Brabazon,"Like Deputy Shane Moynihan who spoke earlier, I have serious concerns about e-bikes, e-scramblers, e-scooters and ordinary scramblers, which are the scourge of people's lives across the city. Aside from the dangers these modes of transport create on our roads and footpaths and across our open spaces and parks, we often see users not wearing any helmets being ""ballied up"" - for want of a better phrase - and not carrying or using lights in the dark evenings, having removed the speed governors from their vehicles. Many of them are unfortunately being used in criminal enterprises for, in particular, muling and carrying illicit produce for the drug trade. These bikes, scramblers and scooters, when used as part of a criminal enterprise, are usually operated by minors. They are, despite being underage, acting in an adult way but are not facing the rigours of the criminal system. On top of that, notwithstanding anything the Garda Commissioner might say, these drug mules are not being pursued and prosecuted when they are on those vehicles.",Government & Administration,1046
2024-10-10,Community Development Projects,Deputy Martin Kenny,"We know and appreciate that some advances are happening in many of these areas and that is very welcome. We are still in a situation where we do not have people living in these areas. I appreciate that derelict site notices are up and that is a help. It is the big stick with which to beat people to try to force them to do something. However, there need to be more initiatives on the other side to create some kind of fund to assist people to try to do something with many of these properties, or at least a system to move them on to somebody else who will do something with them. As I said, in many cases they have been laying derelict for decades and nothing is going to happen to them unless there is some initiative to make something happen. A big part of that is having a carrot to provide some kind of funding to assist people in that manner. The Minister of State mentioned that more money is being rolled out and there is going to be a review of how this money has been spent up to now and what positives have come from it. That is welcome because these things need to be reviewed. Of course, there are people in many of these towns who have complaints and objections. They feel that a lot of the parking has been taken away and that there are an awful lot of other issues in this. All that needs to be weighed up because there needs to be balance as well. We also need to look not just at the town centres but at the back lands, as it were, of towns. There are sometimes opportunities behind some of these houses to create spaces and access for people, particularly people who need to live in those areas.",Government & Administration,1615
